term,word_class,meaning,is_common,frequency
a dua,verb,"To ape, to chime in, to join in, to take a leaf out of sb's book",false,0
a ha,excl,"Aha, ha; hurrah, hurray",false,0
a hoàn,noun,Abigail ; maidservant,false,0
a phiến,noun,Opium,false,0
a tòng,verb,"To act as (be) an accomplice to someone, to act as (be) an accessory to someone, to make common cause with someone",false,0
à,excl,Oh! (exclamation of surprise); By the way,false,0
à uôm,verb,To lump together,false,0
ả,noun,Lass,false,0
ả đào,noun,"Singsong girl, geisha",false,0
ả giang hồ,noun,"prostitute,; street-walker",false,0
á,adj,"Aah! Oof(expression of suffering); Asia; Asian, Asiatic",false,0
á-căn-đình,noun,"Argentina, the Argentine",false,0
á khẩu,noun,aphasia,false,0
á khôi,noun,the second winner in a contest,false,0
á kim,noun,Metalloid,false,0
á rập,noun,Arabia,false,0
ác,adj,"Crow, raven; (cũ) The sun; Cruel, malicious; Severe, fierce; Ripping, rattling good",false,0
ác bá,noun,"Cruel landlord, village tyrant",false,0
ác cảm,noun,"Antipathy, aversion, enmity, bad blood, ill feeling",false,0
ác chiến,verb,"To fight violently, to fight fiercely",false,0
ác là,noun,Magpie,false,0
ác liệt,adj,"Very fierce, very violent",false,0
ác miệng,adj,"Foul-mouthed, foul-tongued",false,0
ác mó,noun,"Parrot; Shrew, termagant",false,0
ác mô ni ca,noun,Mouth-organ,false,0
ác mộng,noun,Nightmare,false,0
ác nghiệt,adj,"Cruel, venomous, harsh, spiteful",false,0
ác ôn,adj,"Enemy-hired killer, wicked thug; Ruffianly, thug-like",false,0
ác phụ,noun,wicked woman,false,0
ác quỷ,noun,"Demon, fiend",false,0
ác tâm,noun,"Malice, malignity, ill will",false,0
ác thú,noun,Beast of prey,false,0
ác tính,adj,"Malign, malignant",false,0
ác ý,noun,"Malice, malignity, ill will",false,0
ách,adj,"Yoke; To come to a standstill, to be at a standstill; To stop; Having a bloated (blown up) stomach, feeling bloated (blown up)",false,0
ạch,noun,flump; flop,false,0
ai,pronoun,"Who, whom, someone, somebody, anyone, anybody",false,0
ai điếu,noun,eulogy; condolence,false,0
ai đời,khẩu ngữ,Fancy,false,0
ai nấy,khẩu ngữ,"each and all, one and all",false,0
ai oán,adj,Plaintive,false,0
ải,adj,"Pass; Hurdle, ordeal, trial; Rotten; Aerated and loose",false,0
ải quan,noun,Frontier pass,false,0
ái,excl,Oh! Ah! (exclamation of pain or surprise),false,0
ái ân,verb,"Tender love, conjugal affection, passion; To live in conjugal affection",false,0
ái chà,excl,Oh! Ha!,false,0
ái hữu,noun,"Friendly society, guild",false,0
ái khanh,noun,My darling; my dear,false,0
ái lực,noun,Affinity,false,0
ái mộ,verb,To attach; to feel attach to,false,0
ái nam ái nữ,adj,"Hermaphroditic, bisexual, androgynous",false,0
ái ngại,verb,To feel compassion for,false,0
- ái nữ,noun,Daughter,false,0
ái nhĩ lan,noun,Ireland,false,0
ái phi,noun,favorite queen,false,0
am,noun,"Small temple, small pagoda; hermitage, secluded hut",false,0
am hiểu,verb,"To realize; to know inside out; to have a good command of ; to know like the back of one's hand; to have a thorough knowledge of; to be expert in (at,on) ; to be well-informed about, to be familiar with",false,0
am pe,noun,Ampere,false,0
ảm đạm,adj,"Gloomy, dreary, sombre",false,0
ám,verb,"Thick fish soup flavoured with herbs; To possess; To annoy, to worry; To darken, to stain, to obscure",false,0
ám ảnh,noun,"To obsess, to haunt; Haunting worry, obsession",false,0
ám chỉ,verb,"To insinuate, to allude to, to hint (at)",false,0
ám hại,verb,To attempt the life of,false,0
ám hiệu,noun,"Secret signal, coded signal",false,0
ám muội,adj,"Shady, dubious, underhand, sinister",false,0
ám sát,verb,To assassinate,false,0
ám tả,noun,Dictation,false,0
ám thị,verb,"To hint, to insinuate, to suggest; To insinuate by suggestion",false,0
an,adj,"Safe, secure",false,0
an ba ni,noun,(Greogr) Albania,false,0
an cư,verb,to live in peace,false,0
an dưỡng,verb,To convalesce,false,0
an giấc,verb,To sleep soundly,false,0
an hưởng,verb,"To enjoy peacefully, to spend peacefully",false,0
an nghỉ,verb,To rest in peace and quiet,false,0
an nhàn,adj,"Leisured, leisurely",false,0
an ninh,noun,Security,false,0
an phận,verb,To feel smug,false,0
an táng,verb,To bury,false,0
an thần,verb,To act as a tranquillizer,false,0
an toạ,verb,"To take a seat, to be seated",false,0
an toàn,adj,Safe,false,0
an trí,verb,"To banish, to exile",false,0
an ủi,verb,"To comfort, to console",false,0
an vị,verb,"To be seated, to be in one's seat",false,0
án,verb,"High and narrow table; Case; Sentence; To obstruct, to block the way",false,0
án mạng,noun,Murder,false,0
án ngữ,verb,To obstruct the access into,false,0
án phí,noun,"Legal costs, law expenses",false,0
án sát,noun,Feudal provincial mandarin in charge of criminal cases,false,0
án thư,noun,High and narrow table,false,0
án treo,noun,Suspended sentence,false,0
án tử hình,noun,death-sentence; death penalty,false,0
ang,noun,crock; container for areca-nuts and betel,false,0
ang áng,adverb,about; approximately,false,0
áng,verb,"Fleece (of cloud), remarkable piece (of literary work), a glorious period (of war); To make a rough estimate",false,0
anh,noun,"Elder brother; First cousin, cousin german (son of one's father's or mother's elder brother or sister)",true,0
anh dũng,adj,Of great fortitude,false,0
anh đào,noun,Cherry,false,0
anh em,noun,"Brothers, siblings; Mates, comrades",false,0
anh hùng,adj,"Hero; Heroic, hero-like",false,0
anh hùng ca,noun,"Epic, saga",false,0
anh linh,noun,Hallowed memory (of a deceased person),false,0
anh minh,adj,Clear-sighted and able,false,0
anh nuôi,noun,Male cook,false,0
anh quân,noun,Clear-sighted and able monarch,false,0
anh tài,noun,"Luminary, outstanding talent",false,0
anh thư,noun,Heroine,false,0
anh tuấn,noun,Eminent person,false,0
ảnh,noun,"Image; Photograph, picture",false,0
ảnh ảo,noun,Virtual image,false,0
ảnh hưởng,noun,"Influence, effect, impact",false,0
ảnh lửa,noun,fire-light,false,0
ánh,adj,"Clove; Light, glare; Lustre",false,0
ánh đèn,noun,lamplight,false,0
ánh nắng,noun,sunlight; sunshine,false,0
ánh sáng,noun,Light,false,0
ao,verb,"Pond; To measure roughly, to measure approximately",false,0
ao ước,verb,"To wish for, to long for, to crave for",false,0
ào,verb,Impetuously; To rush,false,0
ào ào,adj,Impetuous,false,0
ào ạt,adj,"Impetuous, vehement",false,0
ảo,adj,"Illusive, illusory; Imaginary",false,0
ảo ảnh,noun,"Illusion, phantasm, phantom; Mirage",false,0
ảo giác,noun,"Illusion, optical illusion; Fancy, fantasy",false,0
ảo mộng,noun,"Fantastic dream, day-dream, castle in the air",false,0
ảo não,adj,"Doleful, pathetic, plaintive",false,0
ảo thị,noun,Optical illusion,false,0
ảo thuật,noun,"Prestidigitation, legerdemain, jugglery",false,0
ảo tưởng,noun,"Fancy, illusion, fantastic notion, day-dream",false,0
ảo tượng,noun,Mirage,false,0
ảo vọng,noun,"Fantastic hope, fantastic wish",false,0
áo,noun,"(địa lý) Austria; Jacket, coat, tunic, dress, gown; Case, wrapping; Crust, coat; Cloak, cover",false,0
áo choàng,noun,"Overcoat, gown",false,0
áo dài,noun,"Glowing tunic, dress",false,0
- áo giáp,noun,Armour,false,0
áo giáp,noun,cuirass; armour,false,0
áo gối,noun,pillow-case,false,0
áo khách,noun,Chinese-styled jacket,false,0
áo khoác,noun,Overcoat,false,0
áo lặn,noun,"Diving-suit, diving-dress",false,0
áo lót,noun,"Vest, undervest",false,0
áo mưa,noun,"Waterproof, raincoat, mackintosh",false,0
áo ngủ,noun,night-dress,false,0
áo quan,noun,Coffin,false,0
áo sơ mi,noun,shirt,false,0
áo tế,noun,Ritual robe,false,0
áo thụng,noun,Large-sleeved ceremonial robe,false,0
áo tơi,noun,Palm-leaf raincoat; leaf-dress,false,0
áo trấn thủ,noun,Padded cotton waistcoat,false,0
áo vệ sinh,noun,Cotton sweater,false,0
áp,verb,"To press against, to stand against; To affix; To be next to, to be close to",false,0
áp bức,noun,To oppress; oppression,false,0
áp chảo,adj,"Half-fried, saute",false,0
áp chế,verb,"To tyrannize, to persecute",false,0
áp dụng,verb,"To apply, to put into practice, to put into application",false,0
áp đảo,verb,"To overwhelm, to overpower",false,0
áp đặt,verb,"To impose, to force on",false,0
áp giải,verb,"To escort, to conduct under escort",false,0
áp lực,noun,Pressure,false,0
áp suất,noun,Pressure,false,0
áp tải,verb,To convoy,false,0
áp tới,verb,to dash forward,false,0
át,verb,To drown,false,0
au,adj,Bright and cheerful,false,0
áy,adj,Withered (nói về cỏ),false,0
áy náy,verb & adj,(To feel) uneasy,false,0
ắc qui,noun,battery,false,0
ăm ắp,adj,Overbrimmed,false,0
ẵm,verb,To carry in one's arms,false,0
ăn,verb,"To eat, to feed, to take, to have",true,0
ăn bám,verb,"To sponge on, to live on",false,0
ăn bận,verb,To dress,false,0
ăn bốc,verb,to eat with the fingers,false,0
ăn bớt,verb,"To take stealthy rake off, to get pickings, to appropriate part of profits",false,0
- ăn cánh,verb,"To be in collusion with, to be in confederacy with, to be in cahoots with, to be hand in glove with",false,0
ăn cá,verb,to win a bet,false,0
ăn cánh,verb,to take sides with someone; to be in collusion,false,0
ăn cắp,verb,"To steal, to filch, to pilfer",false,0
ăn chay,verb,To keep a vegetarian diet,false,0
ăn chắc,verb,to be on sure,false,0
ăn chặn,verb,To appropriate part of,false,0
ăn chẹt,verb,To take unfair advantage of,false,0
ăn chơi,verb,"To indulge in dissipation, to sink in depravity, to live a debauched life, to lead a life of debauchery",false,0
ăn cỗ,verb,to feast; to attend a banquet,false,0
ăn cơm,verb,to have a meal; to take a meal,false,0
ăn cơm tháng,verb,to board,false,0
